EN,SV,PLURAL
ILLModule,ILLModule,ILLModule
batch\_anonymize.pl script,batch\_anonymize.pl script,batch\_anonymize.pl script
batch anonymization,batch anonymization,batch anonymization
OPACPrivacy,OPACPrivacy,OPACPrivacy
LocalHoldsPriority,LocalHoldsPriority,LocalHoldsPriority
noissuescharge,noissuescharge,noissuescharge
NoIssuesChargeGuarantees,NoIssuesChargeGuarantees,NoIssuesChargeGuarantees
NoIssuesChargeGuarantorsWithGuarantees,NoIssuesChargeGuarantorsWithGuarantees,NoIssuesChargeGuarantorsWithGuarantees
advanced messaging preferences,advanced messaging preferences,advanced messaging preferences
changed on an individual basis,changed on an individual basis,changed on an individual basis
borrowers-force-messaging-defaults script,borrowers-force-messaging-defaults script,borrowers-force-messaging-defaults script
manage\_circ\_rules permission,manage\_circ\_rules permission,manage\_circ\_rules permission
CircControl,CircControl,CircControl
HomeOrHoldingBranch,HomeOrHoldingBranch,HomeOrHoldingBranch
IndependentBranches,IndependentBranches,IndependentBranches
on-site checkouts,on-site checkouts,on-site checkouts
ConsiderOnSiteCheckoutsAsNormalCheckouts,ConsiderOnSiteCheckoutsAsNormalCheckouts,ConsiderOnSiteCheckoutsAsNormalCheckouts
useDaysMode,useDaysMode,useDaysMode
library,library,library
finesCalendar,finesCalendar,finesCalendar
FinesIncludeGracePeriod,FinesIncludeGracePeriod,FinesIncludeGracePeriod
MaxFine,MaxFine,MaxFine
UnseenRenewals,UnseenRenewals,UnseenRenewals
NoRenewalBeforePrecision,NoRenewalBeforePrecision,NoRenewalBeforePrecision
automatic renewal cron job,automatic renewal cron job,automatic renewal cron job
default checkout and hold policy by patron category,default checkout and hold policy by patron category,default checkout and hold policy by patron category
"Default checkout, hold, and return policy","Default checkout, hold, and return policy","Default checkout, hold, and return policy"
maxreserves,maxreserves,maxreserves
staff interface,staff interface,staff interface
Holds awaiting pickup,Holds awaiting pickup,Holds awaiting pickup
ReservesMaxPickUpDelay,ReservesMaxPickUpDelay,ReservesMaxPickUpDelay
ArticleRequests,ArticleRequests,ArticleRequests
charge a rental fee for the item type,charge a rental fee for the item type,charge a rental fee for the item type
UseRecalls,UseRecalls,UseRecalls
RecallsMaxPickUpDelay,RecallsMaxPickUpDelay,RecallsMaxPickUpDelay
OnSiteCheckouts,OnSiteCheckouts,OnSiteCheckouts
library groups,library groups,library groups
when the request is placed,when the request is placed,when the request is placed
RefundLostOnReturnControl,RefundLostOnReturnControl,RefundLostOnReturnControl
NoRefundOnLostReturnedItemsAge,NoRefundOnLostReturnedItemsAge,NoRefundOnLostReturnedItemsAge
AllowHoldPolicyOverride,AllowHoldPolicyOverride,AllowHoldPolicyOverride
AutomaticItemReturn,AutomaticItemReturn,AutomaticItemReturn
CircControlReturnsBranch,CircControlReturnsBranch,CircControlReturnsBranch
manage\_patron\_attributes permission,manage\_patron\_attributes permission,manage\_patron\_attributes permission
ExtendedPatronAttributes,ExtendedPatronAttributes,ExtendedPatronAttributes
patron import tool,patron import tool,patron import tool
patron search,patron search,patron search
add an authorized value list,add an authorized value list,add an authorized value list
batch patron import,batch patron import,batch patron import
patron record add/edit form,patron record add/edit form,patron record add/edit form
manage\_transfers permission,manage\_transfers permission,manage\_transfers permission
UseBranchTransferLimits,UseBranchTransferLimits,UseBranchTransferLimits
Authorized values,Authorized values,Authorized values
UseTransportCostMatrix,UseTransportCostMatrix,UseTransportCostMatrix
StaticHoldsQueueWeight,StaticHoldsQueueWeight,StaticHoldsQueueWeight
manage\_item\_circ\_alerts permission,manage\_item\_circ\_alerts permission,manage\_item\_circ\_alerts permission
manage\_cities permission,manage\_cities permission,manage\_cities permission
CurbsidePickup,CurbsidePickup,CurbsidePickup
manage\_curbside\_pickups permission,manage\_curbside\_pickups permission,manage\_curbside\_pickups permission
PatronRestrictionTypes,PatronRestrictionTypes,PatronRestrictionTypes
manage\_patron\_restrictions permission,manage\_patron\_restrictions permission,manage\_patron\_restrictions permission
manage\_accounts permission,manage\_accounts permission,manage\_accounts permission
patron category settings,patron category settings,patron category settings
item's 'replacement cost' field,item's 'replacement cost' field,item's 'replacement cost' field
item type's default replacement cost,item type's default replacement cost,item type's default replacement cost
manual invoices,manual invoices,manual invoices
circulation and fines rules,circulation and fines rules,circulation and fines rules
item type,item type,item type
patron's category,patron's category,patron's category
ExpireReservesMaxPickUpDelay,ExpireReservesMaxPickUpDelay,ExpireReservesMaxPickUpDelay
ExpireReservesMaxPickUpDelayCharge,ExpireReservesMaxPickUpDelayCharge,ExpireReservesMaxPickUpDelayCharge
adding a new charge to a patron's account,adding a new charge to a patron's account,adding a new charge to a patron's account
point of sale,point of sale,point of sale
transaction history,transaction history,transaction history
cancelling a charge in a patron's account,cancelling a charge in a patron's account,cancelling a charge in a patron's account
manual credits,manual credits,manual credits
discount fines and charges,discount fines and charges,discount fines and charges
Default lost item fee refund on return policy,Default lost item fee refund on return policy,Default lost item fee refund on return policy
fee payments,fee payments,fee payments
point of sale module,point of sale module,point of sale module
refunding the payment of a fine or charge,refunding the payment of a fine or charge,refunding the payment of a fine or charge
writing off a fine or charge,writing off a fine or charge,writing off a fine or charge
manual credit,manual credit,manual credit
AutoCreditNumber,AutoCreditNumber,AutoCreditNumber
manage\_cash\_registers permission,manage\_cash\_registers permission,manage\_cash\_registers permission
entering a payment,entering a payment,entering a payment
they are enabled in the configuration file,they are enabled in the configuration file,they are enabled in the configuration file
manage permission,manage permission,manage permission
configure permission,configure permission,configure permission
admin permission,admin permission,admin permission
tool plugins,tool plugins,tool plugins
report plugins,report plugins,report plugins
configured external plugin repositories,configured external plugin repositories,configured external plugin repositories
batch record modification,batch record modification,batch record modification
manage\_background\_jobs permission,manage\_background\_jobs permission,manage\_background\_jobs permission
Batch bibliographic record modification,Batch bibliographic record modification,Batch bibliographic record modification
Batch bibliographic record deletion,Batch bibliographic record deletion,Batch bibliographic record deletion
Batch authority record modification,Batch authority record modification,Batch authority record modification
Batch authority record deletion,Batch authority record deletion,Batch authority record deletion
Batch item record modification,Batch item record modification,Batch item record modification
